age,annual_income,education_level,city_type,daily_commute_km,weekly_travel_distance_km,current_vehicle_type,vehicle_age_years,fuel_expense_per_month,charging_station_accessibility,nearest_charging_station_km,home_charging_available,electricity_cost_per_kwh,environmental_awareness_score,government_incentive_awareness,technology_affinity_score,range_anxiety_score,battery_replacement_concern,ev_knowledge_score,previous_ev_experience,ev_adoption_likelihood,monthly_energy_consumption_kwh,monthly_charging_cost
37,78815.0,Master,Suburban,29.6,227.3,Hatchback,4.9,246.2,5.6,3.2,1,0.15,5.9,6.3,9.9,5.1,4.6,7.9,0,High,163.5,24.5
43,31200.0,High School,Urban,43.3,250.6,Sedan,3.3,397.3,6.8,12.2,1,0.31,8.2,8.8,9.0,5.3,4.0,6.7,1,High,170.7,52.3
54,54721.0,Bachelor,Rural,53.1,287.1,SUV,6.9,377.4,5.6,8.9,1,0.34,9.7,6.7,9.2,4.4,2.9,7.3,0,High,223.8,75.6
50,20376.0,High School,Urban,69.5,413.4,Hatchback,6.7,662.0,8.4,8.1,1,0.28,4.3,6.1,4.2,4.0,5.0,4.5,0,Medium,258.0,71.1
27,30989.0,High School,Suburban,27.0,159.0,Truck,9.4,223.4,4.1,13.5,1,0.09,8.0,3.2,5.7,5.9,6.0,5.8,0,Medium,100.2,9.0
62,82743.0,Master,Urban,37.9,242.3,Truck,7.9,311.9,7.0,0.8,1,0.15,8.6,4.4,7.5,4.7,4.6,8.4,0,High,146.2,22.4
66,39858.0,High School,Urban,28.2,174.2,Sedan,7.7,175.7,8.7,3.8,1,0.28,6.6,5.7,5.4,6.4,3.7,5.5,1,High,113.9,32.0
67,50699.0,High School,Suburban,33.4,227.1,SUV,6.3,212.5,5.3,10.0,1,0.21,9.8,8.8,9.5,5.2,6.4,9.5,0,High,163.4,33.5
35,25991.0,High School,Suburban,32.2,165.6,SUV,8.7,271.8,8.7,13.3,1,0.31,7.7,6.3,5.9,6.4,8.5,6.4,0,High,111.1,34.8
51,47047.0,Master,Urban,25.6,153.5,Hatchback,7.1,198.9,7.1,8.1,0,0.16,8.4,6.4,8.5,4.9,5.1,7.1,0,High,128.0,20.2
35,56010.0,Master,Urban,29.0,226.4,Hatchback,5.4,227.2,6.3,3.7,1,0.17,7.2,5.0,9.9,3.4,5.3,8.9,0,High,138.4,24.0
49,87795.0,Master,Urban,34.0,257.2,SUV,4.4,320.8,7.9,5.3,0,0.12,9.4,2.3,6.8,2.8,3.9,9.2,0,High,177.0,20.4
45,63020.0,Master,Suburban,60.8,444.7,Hatchback,7.9,564.0,5.4,12.8,1,0.21,6.9,4.6,9.1,2.6,8.6,7.9,0,Medium,379.0,79.6
38,29223.0,Bachelor,Suburban,49.9,293.4,Hatchback,7.1,438.6,5.0,7.7,0,0.15,8.9,10.0,5.0,2.2,5.0,7.5,0,High,217.8,31.7
22,23776.0,PhD,Urban,24.8,175.4,Hatchback,6.3,197.1,7.4,6.5,1,0.25,3.2,6.7,3.3,7.0,4.7,3.4,0,Medium,151.7,37.3
61,37261.0,High School,Urban,64.6,463.8,SUV,5.1,629.6,3.9,7.2,1,0.28,6.0,5.6,6.1,7.4,7.1,6.6,0,Low,295.5,83.0
41,21891.0,Master,Suburban,13.8,86.7,Sedan,1.3,196.2,4.8,17.1,1,0.32,4.0,2.7,6.4,5.9,3.9,6.0,0,Medium,75.5,24.4
64,23151.0,Bachelor,Suburban,40.9,255.4,Sedan,3.3,338.3,8.2,3.4,1,0.26,6.9,6.5,6.7,4.7,3.6,5.9,1,High,154.7,40.1
34,15562.0,Bachelor,Urban,58.2,407.8,Sedan,12.6,438.4,4.4,0.5,1,0.18,4.9,9.0,4.7,7.5,5.4,4.4,1,High,343.4,60.5
57,22907.0,Master,Urban,28.2,184.1,Sedan,6.4,255.3,6.7,7.3,1,0.21,3.3,4.3,5.6,6.1,5.8,3.5,0,Medium,187.6,39.8
46,46653.0,Bachelor,Urban,63.7,365.2,Hatchback,7.1,555.4,7.4,2.0,1,0.24,9.5,7.7,7.5,4.8,8.6,7.5,0,High,269.8,65.3
24,43003.0,Bachelor,Rural,27.4,199.5,Hatchback,9.9,219.6,5.2,5.9,0,0.17,5.4,3.4,9.3,5.1,1.7,6.5,0,High,140.5,23.6
46,91218.0,PhD,Rural,50.1,388.3,Hatchback,1.1,428.1,1.0,7.9,1,0.28,9.2,6.4,6.9,3.1,8.6,7.8,1,High,245.6,69.2
34,15143.0,Bachelor,Urban,58.0,339.3,Sedan,6.5,542.6,8.8,0.5,1,0.15,2.8,4.0,3.9,6.8,4.6,3.9,0,Low,280.9,43.2
27,31704.0,Master,Urban,20.9,137.8,Sedan,13.6,192.4,8.2,7.6,0,0.18,5.0,6.4,6.9,5.9,5.5,4.3,0,Medium,126.3,22.4
25,81995.0,High School,Suburban,43.5,330.5,Sedan,9.7,430.7,1.9,11.1,1,0.24,8.1,6.6,8.3,3.7,5.0,8.6,0,High,259.8,62.5
53,37332.0,Bachelor,Urban,59.4,362.5,Sedan,2.9,582.4,8.0,6.9,0,0.25,5.1,7.3,4.2,4.3,1.9,3.6,0,High,247.9,62.7
42,32865.0,Bachelor,Rural,15.1,83.2,Hatchback,6.5,69.9,4.8,6.4,1,0.17,10.0,8.2,8.3,3.3,6.2,8.1,1,High,83.2,14.5
53,27934.0,Bachelor,Suburban,53.4,292.6,Sedan,5.1,432.3,2.7,3.8,0,0.14,6.1,8.6,3.4,8.8,5.1,4.9,1,Low,196.5,28.4
58,114102.0,Master,Urban,63.4,484.0,Hatchback,7.7,556.5,6.0,2.1,1,0.13,6.6,3.9,9.0,3.6,7.6,7.8,1,High,318.9,40.5
23,48411.0,PhD,Rural,47.3,330.8,Sedan,8.9,261.5,4.8,9.7,1,0.11,7.4,7.3,9.5,2.7,5.3,8.1,1,High,199.2,22.5
45,30867.0,High School,Rural,53.8,278.6,Hatchback,4.2,440.2,4.2,10.7,1,0.35,7.5,6.9,8.7,2.8,7.4,9.1,0,High,218.7,76.4
34,56874.0,High School,Urban,49.8,393.3,Sedan,5.3,376.8,7.8,8.5,1,0.13,6.8,2.9,8.1,3.7,7.1,7.9,0,High,247.7,32.5
46,34366.0,High School,Rural,23.6,135.0,Hatchback,7.3,246.2,4.4,14.1,1,0.12,8.6,6.6,8.5,3.1,3.5,8.3,1,High,96.0,11.1
37,48573.0,High School,Suburban,54.7,298.0,Hatchback,12.0,464.7,4.3,10.7,0,0.08,6.5,3.3,8.9,2.9,3.1,8.9,0,High,203.1,16.9
52,67038.0,Bachelor,Rural,24.4,179.1,Sedan,5.4,200.1,4.9,12.3,1,0.17,9.1,5.9,7.8,2.1,2.9,8.4,1,High,148.0,24.7
45,32597.0,High School,Urban,21.4,166.4,Hatchback,5.0,179.4,8.5,1.6,0,0.23,4.4,3.5,5.1,6.2,6.2,3.5,0,Low,123.1,27.9
47,56798.0,PhD,Suburban,9.2,50.4,Sedan,10.4,57.8,6.3,15.7,0,0.12,7.9,6.3,8.2,4.7,3.3,7.9,0,High,42.4,5.1
54,64188.0,High School,Suburban,40.1,288.9,SUV,4.5,292.6,5.6,15.8,0,0.29,6.1,3.1,8.4,5.5,2.8,6.8,1,Medium,297.7,85.0
41,95176.0,High School,Urban,29.0,147.6,Sedan,4.8,196.4,9.0,2.0,1,0.28,9.8,5.6,7.4,3.2,4.4,8.3,0,High,126.9,34.9
51,19992.0,Master,Suburban,40.8,249.6,Sedan,3.4,373.9,3.8,9.3,1,0.29,6.8,4.2,6.2,7.9,7.1,7.0,0,Low,169.4,48.6
50,33574.0,Master,Urban,14.3,94.1,Sedan,9.1,112.7,6.3,4.6,1,0.2,7.9,3.8,4.5,6.8,4.9,6.4,0,Medium,74.3,15.1
44,23368.0,Bachelor,Urban,42.0,245.8,Sedan,8.7,325.4,6.9,4.0,1,0.31,6.4,4.6,4.4,7.0,4.0,6.5,0,High,181.3,55.9
68,45460.0,Master,Urban,31.4,196.7,Sedan,8.4,214.0,7.6,0.5,1,0.34,7.9,2.8,9.1,2.5,7.3,7.8,1,High,165.9,56.8
26,23207.0,Master,Urban,37.3,202.2,Hatchback,5.4,307.5,6.8,7.5,1,0.16,6.5,5.4,5.2,5.4,5.4,5.9,0,Medium,165.0,26.1
60,42797.0,Master,Rural,51.0,388.1,Sedan,7.0,427.0,4.9,7.1,1,0.23,9.5,4.1,8.0,2.1,5.0,9.8,0,High,363.1,81.9
41,25471.0,Bachelor,Suburban,13.4,75.0,Hatchback,0.0,155.3,2.5,10.9,1,0.18,3.1,10.0,5.2,8.3,5.4,4.1,0,Low,71.6,12.8
50,26117.0,Bachelor,Urban,52.1,398.6,SUV,9.6,541.5,8.2,4.3,0,0.28,10.0,6.7,6.9,2.4,4.4,8.6,0,High,293.9,81.5
48,24768.0,Bachelor,Urban,54.6,291.4,Sedan,4.2,524.2,7.5,4.7,0,0.25,4.8,9.9,5.0,9.1,1.8,5.7,1,High,207.3,50.9
26,49235.0,Master,Urban,39.5,296.4,Sedan,10.1,372.0,3.1,3.5,0,0.09,7.3,8.1,7.0,4.7,2.4,7.9,0,High,211.6,18.8
56,31858.0,Bachelor,Urban,63.5,396.1,Hatchback,4.9,532.7,6.2,2.7,1,0.11,2.4,7.1,3.8,7.8,6.8,4.1,0,Medium,329.2,37.7
29,16503.0,High School,Suburban,31.1,183.4,SUV,2.8,218.3,6.9,16.8,1,0.13,4.5,5.8,4.2,5.1,4.7,4.4,0,Medium,176.0,22.9
65,33059.0,Bachelor,Urban,44.6,345.1,SUV,4.8,339.5,6.3,1.6,1,0.2,7.3,7.2,6.6,6.3,7.4,,0,High,324.5,65.0
58,17011.0,High School,Urban,21.0,128.0,SUV,5.3,94.0,7.9,0.5,0,0.14,3.9,5.6,5.9,7.1,5.0,6.0,0,Medium,105.3,14.3
59,37047.0,Bachelor,Urban,45.1,316.7,Sedan,8.3,375.1,6.3,0.5,1,0.32,8.2,3.6,7.5,2.3,6.7,6.6,0,High,320.5,102.0
24,41121.0,Bachelor,Suburban,43.0,262.8,Sedan,10.6,341.8,6.0,9.3,1,0.26,4.2,8.4,6.6,5.0,1.5,5.6,1,High,240.0,63.2
21,37893.0,High School,Urban,36.6,283.2,Hatchback,5.5,248.3,9.1,1.7,1,0.1,6.0,8.2,8.3,3.2,5.3,5.7,0,High,225.3,22.7
56,22482.0,Bachelor,Suburban,38.5,251.5,Sedan,4.8,328.4,5.5,1.5,1,0.08,7.4,8.5,3.0,6.9,4.0,4.4,1,High,208.8,17.1
50,104539.0,High School,Suburban,65.5,517.2,SUV,2.7,536.0,1.4,8.6,1,0.11,5.4,5.8,8.3,5.9,5.5,7.1,1,High,530.2,59.0
57,38038.0,Bachelor,Suburban,41.7,229.6,Sedan,4.7,391.2,6.1,13.4,0,0.22,8.8,3.8,6.4,3.6,6.5,7.7,0,High,195.8,42.5
38,27716.0,Bachelor,Suburban,29.6,203.3,Sedan,4.6,244.7,10.0,4.0,0,0.34,2.8,6.5,5.1,8.9,5.9,5.1,0,Low,191.5,65.2
39,45881.0,Bachelor,Urban,48.1,349.4,SUV,5.7,327.0,10.0,6.8,1,0.24,9.5,5.6,9.8,2.6,6.3,10.0,0,High,276.9,67.5
65,49627.0,Bachelor,Rural,40.7,312.8,Sedan,5.6,382.3,9.7,10.8,1,0.09,5.9,9.9,7.0,4.2,4.5,7.4,0,High,228.5,19.5
39,29338.0,High School,Rural,47.9,252.6,Sedan,5.6,388.4,3.8,10.8,0,0.33,8.4,6.9,8.8,2.0,6.0,9.0,0,High,195.4,65.1
34,43684.0,Master,Rural,18.1,94.4,Truck,0.3,160.5,5.0,6.7,1,0.27,4.1,2.8,4.9,6.2,3.5,3.7,1,Low,94.5,25.6
33,23407.0,Bachelor,Urban,44.5,309.0,Sedan,6.0,414.0,10.0,0.5,1,0.1,5.4,3.8,3.9,8.2,6.6,5.5,1,Medium,259.4,25.8
38,32735.0,Master,Suburban,27.4,159.1,SUV,8.1,267.1,6.8,10.8,1,0.21,4.4,7.0,5.0,6.4,4.7,4.5,0,Medium,155.1,32.0
43,10511.0,Bachelor,Urban,17.2,118.4,Hatchback,8.9,193.6,7.2,3.8,0,0.11,7.7,7.2,5.7,5.6,7.4,6.6,1,High,96.8,10.5
61,13085.0,High School,Suburban,31.9,199.0,Hatchback,8.8,254.6,6.7,15.2,1,0.28,4.8,5.8,4.5,5.3,4.1,4.8,0,Medium,169.4,48.0
67,62654.0,Master,Urban,30.3,186.2,Sedan,5.3,149.3,8.6,0.5,1,0.08,9.3,7.1,9.3,4.2,4.9,10.0,0,High,174.1,14.4
50,61037.0,Bachelor,Urban,35.3,222.6,Sedan,9.7,263.5,8.3,0.5,1,0.23,5.5,7.2,8.0,5.1,9.0,7.1,0,High,213.4,49.8
49,20461.0,High School,Suburban,25.0,181.1,SUV,6.1,219.3,2.5,7.5,0,0.12,4.6,8.6,6.7,6.8,6.1,4.5,1,Medium,158.6,18.7
67,22359.0,High School,Suburban,47.7,337.5,Truck,1.3,400.3,4.8,7.8,0,0.29,8.7,6.9,8.7,2.9,4.7,8.8,1,High,313.6,89.5
65,24709.0,High School,Rural,15.3,121.4,Hatchback,4.7,152.0,1.8,11.8,1,0.24,5.8,6.4,6.5,7.4,3.7,6.6,0,Medium,81.6,19.6
44,16635.0,Master,Rural,47.5,323.2,Hatchback,4.4,449.5,7.7,10.9,0,0.3,6.2,6.1,5.7,5.8,2.4,5.3,0,High,250.5,74.7
40,48845.0,Master,Rural,44.2,347.3,SUV,9.6,347.8,5.8,3.7,1,0.26,7.1,4.6,9.0,4.5,3.8,6.5,0,High,214.4,55.2
41,50878.0,Bachelor,Suburban,45.3,264.9,SUV,5.4,417.3,4.7,16.0,1,0.14,9.8,3.5,8.7,3.7,5.7,10.0,0,High,167.6,22.7
56,60142.0,Bachelor,Suburban,45.6,317.9,Sedan,6.3,425.5,3.9,3.3,0,0.11,7.6,7.4,9.4,5.3,1.0,7.8,0,High,222.8,25.5
50,78570.0,Bachelor,Suburban,17.8,132.4,Sedan,8.4,139.2,3.8,15.7,1,0.26,9.0,6.2,9.5,3.7,3.4,8.4,0,High,112.9,29.2
21,12895.0,Master,Urban,46.9,371.3,SUV,4.9,378.8,6.2,6.8,0,0.09,4.9,5.3,5.0,6.4,4.1,4.0,0,Medium,345.6,32.5
52,57163.0,Master,Urban,5.0,25.4,Hatchback,5.8,60.2,8.5,0.5,1,0.23,5.2,9.6,5.4,6.0,5.1,5.1,1,High,21.3,4.8
57,31590.0,High School,Urban,22.1,172.2,Hatchback,6.1,189.4,5.7,1.0,0,0.09,8.6,3.5,8.5,4.0,4.1,9.2,0,High,168.7,14.4
22,22216.0,High School,Urban,15.8,125.8,Hatchback,4.3,146.6,8.3,5.6,1,0.35,4.3,6.8,5.0,6.7,4.7,5.1,0,Medium,105.3,36.6
27,14256.0,Bachelor,Urban,38.6,248.9,Sedan,8.8,272.7,7.2,4.6,0,0.1,4.3,5.8,2.8,8.1,5.4,3.8,0,Low,219.2,22.0
56,60216.0,High School,Urban,17.8,98.2,Sedan,12.5,110.2,4.1,8.7,0,0.25,9.4,7.2,7.4,2.9,4.7,9.1,0,High,89.7,22.4
55,21321.0,Master,Urban,45.5,337.4,Hatchback,6.2,435.8,7.5,0.5,1,0.27,6.7,7.2,5.5,7.0,2.7,5.1,0,Medium,289.8,78.0
33,16461.0,Master,Urban,18.0,117.9,Sedan,4.8,210.2,8.2,0.7,0,0.31,7.5,8.0,5.1,6.0,4.5,7.4,0,High,98.1,30.8
33,51094.0,Bachelor,Suburban,55.9,289.2,SUV,4.5,527.7,2.5,13.3,0,0.12,8.0,7.6,9.4,4.4,5.7,9.2,0,High,210.0,25.9
44,42184.0,Master,Urban,10.1,78.2,Truck,2.6,30.3,8.4,3.0,1,0.11,9.1,8.1,6.4,3.1,1.0,6.3,1,High,69.9,7.5
57,60479.0,Bachelor,Suburban,44.1,271.4,SUV,10.8,351.8,5.2,14.5,1,0.16,6.8,1.9,9.2,2.6,6.1,9.6,1,High,177.6,28.4
67,20147.0,Bachelor,Urban,38.1,215.8,Truck,9.1,403.9,3.8,0.5,1,0.27,4.8,4.3,4.9,4.7,6.1,2.3,1,Medium,188.5,50.5
46,30513.0,Bachelor,Urban,21.2,155.0,Hatchback,7.6,231.8,7.8,6.5,1,0.32,3.6,7.5,4.3,5.7,3.1,4.3,0,Medium,143.5,45.8
49,23542.0,High School,Rural,40.1,306.3,SUV,5.4,308.5,4.4,13.8,1,0.34,3.6,6.4,4.1,7.7,3.9,3.7,1,Low,241.5,82.4
24,11492.0,Bachelor,Suburban,44.3,308.7,Hatchback,5.4,456.5,5.5,16.1,0,0.29,2.9,8.8,3.4,7.5,5.8,3.9,0,Low,204.5,58.7
49,52122.0,High School,Urban,45.5,309.9,SUV,7.6,398.4,10.0,4.0,0,0.19,4.7,4.4,4.6,7.6,8.0,3.4,0,Low,301.4,57.9
46,78534.0,Bachelor,Rural,47.9,301.5,SUV,12.6,423.7,3.4,12.9,1,0.3,7.2,2.5,9.2,2.5,4.4,9.2,0,High,282.2,85.5
53,58393.0,Bachelor,Urban,34.6,199.8,Sedan,5.0,310.2,5.9,3.3,1,0.17,8.1,7.3,9.5,5.0,4.4,8.4,0,High,126.1,21.1
35,81041.0,Bachelor,Urban,44.2,348.3,Hatchback,5.1,415.1,4.9,7.5,0,0.22,9.4,2.5,10.0,3.0,1.9,9.0,0,High,319.5,69.7
54,32647.0,Bachelor,Suburban,18.9,106.6,Truck,7.9,194.3,3.8,10.5,1,0.26,6.3,3.9,6.6,5.5,8.0,8.4,0,Medium,93.9,24.6
42,49121.0,Bachelor,Suburban,19.7,154.3,Sedan,5.5,114.5,8.8,8.1,1,0.25,9.2,8.4,5.7,4.1,5.6,6.8,0,High,99.2,25.1
36,25542.0,Bachelor,Suburban,37.7,245.0,Truck,3.0,376.1,5.5,10.8,0,0.13,4.9,7.4,6.7,6.5,3.0,7.5,1,High,229.2,30.8
49,43129.0,High School,Urban,6.0,31.1,Sedan,5.5,-11.9,6.0,1.9,0,0.12,7.6,5.9,9.0,5.6,6.0,9.2,0,High,22.7,2.7
57,33165.0,High School,Rural,26.3,192.8,Sedan,8.6,280.9,4.8,5.1,1,0.16,8.7,6.2,7.7,2.2,4.8,8.5,0,High,175.3,28.4
37,22633.0,Master,Urban,27.4,181.4,Hatchback,2.4,210.5,10.0,2.7,1,0.21,8.7,5.2,7.2,5.0,7.1,7.7,0,High,144.6,30.4
46,43404.0,Master,Urban,30.5,241.3,Truck,3.4,294.7,7.5,2.1,1,0.19,8.8,6.4,8.4,4.3,6.7,10.0,0,High,226.8,43.0
61,74542.0,Bachelor,Suburban,21.8,143.4,SUV,8.0,238.1,3.8,10.5,1,0.14,9.1,6.8,6.4,5.0,1.7,7.1,0,High,144.8,20.7
48,32225.0,Master,Urban,37.7,243.8,SUV,4.4,372.4,6.2,4.5,0,0.14,5.1,6.3,4.4,6.0,1.0,5.5,0,Medium,199.3,26.9
55,61239.0,Master,Urban,27.3,164.1,SUV,6.4,232.9,8.8,9.2,0,0.09,7.8,9.8,9.5,2.6,6.7,8.9,1,High,157.7,15.0
69,13715.0,High School,Urban,19.1,97.4,Truck,7.5,168.6,8.4,0.5,1,0.17,5.0,6.7,3.7,6.4,6.1,3.4,1,Medium,59.1,9.8
60,42210.0,Bachelor,Rural,57.1,300.7,Truck,7.0,480.7,4.8,12.8,0,0.12,8.0,7.6,4.9,5.4,3.0,5.6,0,Medium,299.1,37.2
23,66551.0,Master,Urban,45.9,230.3,Sedan,3.2,455.3,8.9,2.1,1,0.33,7.1,8.3,7.5,3.2,2.8,6.5,0,High,172.5,56.2
35,30172.0,Bachelor,Urban,60.7,324.7,SUV,5.2,538.4,8.7,8.0,1,0.3,4.4,9.8,5.0,6.5,6.6,4.5,0,Medium,197.0,59.4
65,46104.0,Bachelor,Urban,36.4,279.8,Hatchback,8.7,366.4,6.3,4.9,1,0.29,7.3,6.8,8.9,2.5,8.2,7.7,0,High,172.3,50.5
42,36781.0,High School,Suburban,28.7,165.3,SUV,9.2,222.3,4.8,15.3,1,0.18,5.5,4.8,8.1,4.1,7.1,5.2,1,Low,115.2,20.5
55,51135.0,High School,Suburban,41.9,219.3,SUV,7.9,358.1,2.8,6.7,1,0.25,8.8,7.1,6.8,2.9,4.6,7.4,0,High,180.3,44.6
68,50926.0,High School,Urban,32.3,204.0,Hatchback,5.8,292.5,7.4,9.6,1,0.16,7.6,4.6,8.5,4.7,3.1,7.6,1,High,136.5,21.2
51,101274.0,PhD,Urban,37.4,286.5,Truck,6.7,342.0,4.5,9.8,1,0.22,8.2,4.5,6.3,4.9,8.6,8.0,0,High,275.1,61.5
38,23955.0,High School,Suburban,52.5,305.5,Truck,7.0,430.7,7.5,10.9,1,0.27,4.9,3.8,6.7,6.3,3.5,6.2,1,High,241.8,64.8
32,108586.0,Bachelor,Suburban,13.0,69.6,Truck,7.3,62.9,3.6,5.9,1,0.19,7.8,5.3,9.3,6.0,4.3,10.0,1,High,44.4,8.6
41,67802.0,Master,Urban,59.8,346.6,Sedan,5.5,501.5,7.9,5.7,1,0.29,8.3,3.8,5.9,2.1,3.4,6.2,0,High,209.6,61.0
